Source file: STIRRER  LEFT.dnl
Date: 01.03.2020
Time: 15:13
User name: MASTERDRIVES VC(CUVC)
Device type: MASTERDRIVES VC(CUVC)
SW version: 03.4
Bus address: 0
;;;;
MFLB: 6SE70 .. [18] 21-3E.6.                        
Converter supply voltage: 415 V
Converter current(n): 13.2 A
Converter power(n): 5.5 kW
Date of generation: 20.1.2005
Operating hours: 540.3.3052

;Basic board;Slot A;Slot C;Slot D;Slot E;Slot F;Slot G
r041;Disp Speed Conn;001;;0.0 min¯¹
r041;Disp Speed Conn;002;;0.0 min¯¹
r041;Disp Speed Conn;003;;0.0 min¯¹
r041;Disp Speed Conn;004;;0.0 min¯¹
r041;Disp Speed Conn;005;;0.0 min¯¹
P042;S.DispFreqConn;001;;K15  AO1 ActV 
P042;S.DispFreqConn;002;;K0  FixConn 0% 
P042;S.DispFreqConn;003;;K0  FixConn 0% 
P042;S.DispFreqConn;004;;K0  FixConn 0% 
P042;S.DispFreqConn;005;;K0  FixConn 0% 
r043;Disp Freq Conn;001;;13.855 Hz
r043;Disp Freq Conn;002;;0.000 Hz
r043;Disp Freq Conn;003;;0.000 Hz
r043;Disp Freq Conn;004;;0.000 Hz
r043;Disp Freq Conn;005;;0.000 Hz
P044;S.Disp DecConn;001;;K15  AO1 ActV 
P044;S.Disp DecConn;002;;K0  FixConn 0% 
P044;S.Disp DecConn;003;;K0  FixConn 0% 
P044;S.Disp DecConn;004;;K0  FixConn 0% 
P044;S.Disp DecConn;005;;K0  FixConn 0% 
r045;Disp DecConn;001;;297402368 
r045;Disp DecConn;002;;0 
r045;Disp DecConn;003;;0 
r045;Disp DecConn;004;;0 
r045;Disp DecConn;005;;0 
P046;S.Disp HexConn;001;;K0  FixConn 0% 
P046;S.Disp HexConn;002;;K0  FixConn 0% 
P046;S.Disp HexConn;003;;K0  FixConn 0% 
P046;S.Disp HexConn;004;;K0  FixConn 0% 
P046;S.Disp HexConn;005;;K0  FixConn 0% 
r047;Disp Hex Conn;001;;0x0 
r047;Disp Hex Conn;002;;0x0 
r047;Disp Hex Conn;003;;0x0 
r047;Disp Hex Conn;004;;0x0 
r047;Disp Hex Conn;005;;0x0 
r047;Disp Hex Conn;006;;0x0 
r047;Disp Hex Conn;007;;0x0 
r047;Disp Hex Conn;008;;0x0 
r047;Disp Hex Conn;009;;0x0 
r047;Disp Hex Conn;010;;0x0 
P048;PMU OperDisp;000;;2 
P049;OP OperDisp;001;1st line left;4 
P049;OP OperDisp;002;1st line right;6 
P049;OP OperDisp;003;2nd line (act.);2 
P049;OP OperDisp;004;3rd line (set);229 
P049;OP OperDisp;005;4th line;1 
P050;Language;000;4th line;[1] English 
P053;Parameter Access;000;4th line;0000000001110111 
r054;Requester;000;4th line;0x4 
P060;Menu Select;000;4th line;[7] Upr/fr. Access 
P068;Output Filter;000;4th line;[0] none 
r069;SW Version;001;Basic board;3.4 
r069;SW Version;002;Slot A;0.0 
r069;SW Version;003;Slot B;0.0 
r069;SW Version;004;Slot C;0.0 
r069;SW Version;005;Slot D;0.0 
r069;SW Version;006;Slot E;0.0 
r069;SW Version;007;Slot F;0.0 
r069;SW Version;008;Slot G;0.0 
P070;Order No. 6SE70.;000;Slot G;[18] 21-3E.6. 
P071;Line Volts;000;Slot G;415 V
P072;Rtd Drive Amps;000;Slot G;13.2 A
P073;Rtd Drive Power;000;Slot G;5.5 kW
P075;X (magnet,d)tot;001;MDS1;150.0 %
P075;X (magnet,d)tot;002;MDS2;150.0 %
P075;X (magnet,d)tot;003;MDS3;150.0 %
P075;X (magnet,d)tot;004;MDS4;150.0 %
P076;X (magnet,q)tot.;001;MDS1;150.0 %
P076;X (magnet,q)tot.;002;MDS2;150.0 %
P076;X (magnet,q)tot.;003;MDS3;150.0 %
P076;X (magnet,q)tot.;004;MDS4;150.0 %
P077;X (sigma,d) damp;001;MDS1;9.00 %
P077;X (sigma,d) damp;002;MDS2;9.00 %
P077;X (sigma,d) damp;003;MDS3;9.00 %
P077;X (sigma,d) damp;004;MDS4;9.00 %
P078;X (sigma,q) damp;001;MDS1;9.00 %
P078;X (sigma,q) damp;002;MDS2;9.00 %
P078;X (sigma,q) damp;003;MDS3;9.00 %
P078;X (sigma,q) damp;004;MDS4;9.00 %
P079;R (damping,d);001;MDS1;8.00 %
P079;R (damping,d);002;MDS2;8.00 %
P079;R (damping,d);003;MDS3;8.00 %
P079;R (damping,d);004;MDS4;8.00 %
P080;R (damping,q);001;MDS1;8.00 %
P080;R (damping,q);002;MDS2;8.00 %
P080;R (damping,q);003;MDS3;8.00 %
P080;R (damping,q);004;MDS4;8.00 %
P081;Iexc(0)/Iexc(n);001;MDS1;50.0 %
P081;Iexc(0)/Iexc(n);002;MDS2;50.0 %
P081;Iexc(0)/Iexc(n);003;MDS3;50.0 %
P081;Iexc(0)/Iexc(n);004;MDS4;50.0 %
P082;Psi(sat.char.,1);001;MDS1;60.0 %
P082;Psi(sat.char.,1);002;MDS2;60.0 %
P082;Psi(sat.char.,1);003;MDS3;60.0 %
P082;Psi(sat.char.,1);004;MDS4;60.0 %
P083;Iexc(sat.char,1);001;MDS1;30.0 %
P083;Iexc(sat.char,1);002;MDS2;30.0 %
P083;Iexc(sat.char,1);003;MDS3;30.0 %
P083;Iexc(sat.char,1);004;MDS4;30.0 %
P084;Psi(sat.char.,2);001;MDS1;80.0 %
P084;Psi(sat.char.,2);002;MDS2;80.0 %
P084;Psi(sat.char.,2);003;MDS3;80.0 %
P084;Psi(sat.char.,2);004;MDS4;80.0 %
P085;Iexc(sat.char,2);001;MDS1;45.0 %
P085;Iexc(sat.char,2);002;MDS2;45.0 %
P085;Iexc(sat.char,2);003;MDS3;45.0 %
P085;Iexc(sat.char,2);004;MDS4;45.0 %
P086;Psi(sat.char.,3);001;MDS1;90.0 %
P086;Psi(sat.char.,3);002;MDS2;90.0 %
P086;Psi(sat.char.,3);003;MDS3;90.0 %
P086;Psi(sat.char.,3);004;MDS4;90.0 %
P087;Iexc(sat.char,3);001;MDS1;65.0 %
P087;Iexc(sat.char,3);002;MDS2;65.0 %
P087;Iexc(sat.char,3);003;MDS3;65.0 %
P087;Iexc(sat.char,3);004;MDS4;65.0 %
P088;kT(n);001;MDS1;0.00 Nm/A
P088;kT(n);002;MDS2;0.00 Nm/A
P088;kT(n);003;MDS3;0.00 Nm/A
P088;kT(n);004;MDS4;0.00 Nm/A
P095;Type of Motor;001;MDS1;[10] async./sync IEC 
P095;Type of Motor;002;MDS2;[10] async./sync IEC 
P095;Type of Motor;003;MDS3;[10] async./sync IEC 
P095;Type of Motor;004;MDS4;[10] async./sync IEC 
P097;Select 1PH7;001;MDS1;[0] no motor 
P097;Select 1PH7;002;MDS2;[0] no motor 
P097;Select 1PH7;003;MDS3;[0] no motor 
P097;Select 1PH7;004;MDS4;[0] no motor 
P100;Control Mode;001;MDS1;[3] f Regulat 
P100;Control Mode;002;MDS2;[1] V/Hz 
P100;Control Mode;003;MDS3;[1] V/Hz 
P100;Control Mode;004;MDS4;[1] V/Hz 
P101;Mot Rtd Volts;001;MDS1;415 V
P101;Mot Rtd Volts;002;MDS2;400 V
P101;Mot Rtd Volts;003;MDS3;400 V
P101;Mot Rtd Volts;004;MDS4;400 V
P102;Motor Rtd Amps;001;MDS1;11.0 A
P102;Motor Rtd Amps;002;MDS2;13.2 A
P102;Motor Rtd Amps;003;MDS3;13.2 A
P102;Motor Rtd Amps;004;MDS4;13.2 A
P103;Motor Magn Amps;001;MDS1;50.1 %
P103;Motor Magn Amps;002;MDS2;0.0 %
P103;Motor Magn Amps;003;MDS3;0.0 %
P103;Motor Magn Amps;004;MDS4;0.0 %
P104;MotPwrFactor;001;MDS1;0.770 
P104;MotPwrFactor;002;MDS2;0.800 
P104;MotPwrFactor;003;MDS3;0.800 
P104;MotPwrFactor;004;MDS4;0.800 
P105;Motor Rtd Power;001;MDS1;5.0 hp
P105;Motor Rtd Power;002;MDS2;5.0 hp
P105;Motor Rtd Power;003;MDS3;5.0 hp
P105;Motor Rtd Power;004;MDS4;5.0 hp
P106;Motor Rtd Effic.;001;MDS1;95.0 %
P106;Motor Rtd Effic.;002;MDS2;95.0 %
P106;Motor Rtd Effic.;003;MDS3;95.0 %
P106;Motor Rtd Effic.;004;MDS4;95.0 %
P107;Motor Rtd Freq;001;MDS1;50.00 Hz
P107;Motor Rtd Freq;002;MDS2;50.00 Hz
P107;Motor Rtd Freq;003;MDS3;50.00 Hz
P107;Motor Rtd Freq;004;MDS4;50.00 Hz
P108;Motor Rtd Speed;001;MDS1;1450.0 min¯¹
P108;Motor Rtd Speed;002;MDS2;0.0 min¯¹
P108;Motor Rtd Speed;003;MDS3;0.0 min¯¹
P108;Motor Rtd Speed;004;MDS4;0.0 min¯¹
P109;Motor #PolePairs;001;MDS1;2 
P109;Motor #PolePairs;002;MDS2;2 
P109;Motor #PolePairs;003;MDS3;2 
P109;Motor #PolePairs;004;MDS4;2 
r110;Motor Rtd Slip;000;MDS4;3.34 %
P113;Mot Rtd Torque;001;MDS1;39.60 Nm
P113;Mot Rtd Torque;002;MDS2;39.60 Nm
P113;Mot Rtd Torque;003;MDS3;39.60 Nm
P113;Mot Rtd Torque;004;MDS4;39.60 Nm
P114;Technol. Cond.;001;MDS1;[0] Standard Drive 
P114;Technol. Cond.;002;MDS2;[0] Standard Drive 
P114;Technol. Cond.;003;MDS3;[0] Standard Drive 
P114;Technol. Cond.;004;MDS4;[0] Standard Drive 
P115;Calc MotModel;000;MDS4;[0] Return 
P116;Start-up Time;001;MDS1;0.10 s
P116;Start-up Time;002;MDS2;1.00 s
P116;Start-up Time;003;MDS3;1.00 s
P116;Start-up Time;004;MDS4;1.00 s
P117;Resist Cable;001;MDS1;0.00 %
P117;Resist Cable;002;MDS2;0.00 %
P117;Resist Cable;003;MDS3;0.00 %
P117;Resist Cable;004;MDS4;0.00 %
r118;Resist Stator ++;000;MDS4;7.10 %
r119;Magn. Current;000;MDS4;5.5 A
P120;Main Reactance;001;MDS1;162.1 %
P120;Main Reactance;002;MDS2;189.5 %
P120;Main Reactance;003;MDS3;189.5 %
P120;Main Reactance;004;MDS4;189.5 %
P121;Stator Resist;001;MDS1;7.10 %
P121;Stator Resist;002;MDS2;5.33 %
P121;Stator Resist;003;MDS3;5.33 %
P121;Stator Resist;004;MDS4;5.33 %
P122;Tot Leak React;001;MDS1;22.67 %
P122;Tot Leak React;002;MDS2;20.01 %
P122;Tot Leak React;003;MDS3;20.01 %
P122;Tot Leak React;004;MDS4;20.01 %
r124;Rotor Time Const;001;-d;192 ms
r124;Rotor Time Const;002;-q;192 ms
r125;T(sigma);001;-d;7 ms
r125;T(sigma);002;-q;7 ms
r126;RotResist;000;-q;2.68 %
P127;RotResistTmpFact;001;MDS1;85.7 %
P127;RotResistTmpFact;002;MDS2;80.0 %
P127;RotResistTmpFact;003;MDS3;80.0 %
P127;RotResistTmpFact;004;MDS4;80.0 %
P128;Imax;001;MDS1;16.5 A
P128;Imax;002;MDS2;17.8 A
P128;Imax;003;MDS3;17.8 A
P128;Imax;004;MDS4;17.8 A
r129;Imax(set);000;MDS4;17.0 A
P130;Select MotEncod;001;MDS1;[10] without 
P130;Select MotEncod;002;MDS2;[10] without 
P130;Select MotEncod;003;MDS3;[10] without 
P130;Select MotEncod;004;MDS4;[10] without 
P138;AnalogTachScale;001;MDS1;3000 min¯¹
P138;AnalogTachScale;002;MDS2;3000 min¯¹
P138;AnalogTachScale;003;MDS3;3000 min¯¹
P138;AnalogTachScale;004;MDS4;3000 min¯¹
P139;ConfSetpEnc;000;MDS4;0x0 
P140;SetpEnc Pulse#;001;Setp Ch1;1024 
P140;SetpEnc Pulse#;002;Setp Ch2;1024 
P141;SetpEncFreq;001;Setp Ch1;10000 Hz
P141;SetpEncFreq;002;Setp Ch2;10000 Hz
P151;Encoder Pulse #;001;MDS1;1024 
P151;Encoder Pulse #;002;MDS2;1024 
P151;Encoder Pulse #;003;MDS3;1024 
P151;Encoder Pulse #;004;MDS4;1024 
P155;S.i(excit.);001;BiCoDS 1;K0  FixConn 0% 
P155;S.i(excit.);002;BiCoDS 2;K0  FixConn 0% 
r156;Iexc(act);000;BiCoDS 2;0.0 %
P157;i(exc.)-Reg. Kp;001;MDS1;0.500 
P157;i(exc.)-Reg. Kp;002;MDS2;0.500 
P157;i(exc.)-Reg. Kp;003;MDS3;0.500 
P157;i(exc.)-Reg. Kp;004;MDS4;0.500 
P158;i(exc.,min.);001;MDS1;0.1 %
P158;i(exc.,min.);002;MDS2;0.1 %
P158;i(exc.,min.);003;MDS3;0.1 %
P158;i(exc.,min.);004;MDS4;0.1 %
P159;Smooth. dI(exc);001;MDS1;100 ms
P159;Smooth. dI(exc);002;MDS2;100 ms
P159;Smooth. dI(exc);003;MDS3;100 ms
P159;Smooth. dI(exc);004;MDS4;100 ms
r160;Iexc(set);000;MDS4;0.0 %
P161;i(min.curr.val.);001;MDS1;0.0 A
P161;i(min.curr.val.);002;MDS2;0.0 A
P161;i(min.curr.val.);003;MDS3;0.0 A
P161;i(min.curr.val.);004;MDS4;0.0 A
P162;df(changeCosPhi);001;MDS1;20.0 %
P162;df(changeCosPhi);002;MDS2;20.0 %
P162;df(changeCosPhi);003;MDS3;20.0 %
P162;df(changeCosPhi);004;MDS4;20.0 %
P163;Flux Reg. Gain;001;MDS1;1.500 
P163;Flux Reg. Gain;002;MDS2;1.500 
P163;Flux Reg. Gain;003;MDS3;1.500 
P163;Flux Reg. Gain;004;MDS4;1.500 
P164;V(max) reg. Kp;001;MDS1;1.500 
P164;V(max) reg. Kp;002;MDS2;1.500 
P164;V(max) reg. Kp;003;MDS3;1.500 
P164;V(max) reg. Kp;004;MDS4;1.500 
P165;EMF(max) reg. Kp;001;MDS1;1.500 
P165;EMF(max) reg. Kp;002;MDS2;1.500 
P165;EMF(max) reg. Kp;003;MDS3;1.500 
P165;EMF(max) reg. Kp;004;MDS4;1.500 
P166;Kp Tdd;001;MDS1;100.0 %
P166;Kp Tdd;002;MDS2;100.0 %
P166;Kp Tdd;003;MDS3;100.0 %
P166;Kp Tdd;004;MDS4;100.0 %
P167;Kp Tdq;001;MDS1;100.0 %
P167;Kp Tdq;002;MDS2;100.0 %
P167;Kp Tdq;003;MDS3;100.0 %
P167;Kp Tdq;004;MDS4;100.0 %
r168;Load angle;000;MDS4;0.0 °
P172;S.Pos SetV;001;BiCoDS 1;K0  FixConn 0% 
P172;S.Pos SetV;002;BiCoDS 2;K0  FixConn 0% 
r185;Pos (act Mot);000;BiCoDS 2;0.0 °
r186;Rotor angle;000;BiCoDS 2;0.0 °
P187;T(dead,rot.ang.);000;BiCoDS 2;1.000 ms
P215;max. dn/dt;001;MDS1;5.00 Hz
P215;max. dn/dt;002;MDS2;5.00 Hz
P215;max. dn/dt;003;MDS3;5.00 Hz
P215;max. dn/dt;004;MDS4;5.00 Hz
P216;Smooth n/f(FWD);001;MDS1;4.8 ms
P216;Smooth n/f(FWD);002;MDS2;0.0 ms
P216;Smooth n/f(FWD);003;MDS3;0.0 ms
P216;Smooth n/f(FWD);004;MDS4;0.0 ms
P217;Slip fail corr'n;001;MDS1;[0] without 
P217;Slip fail corr'n;002;MDS2;[0] without 
P217;Slip fail corr'n;003;MDS3;[0] without 
P217;Slip fail corr'n;004;MDS4;[0] without 
r218;n/f(act);000;MDS4;45.865 Hz
r219;n (act);000;MDS4;1375.241 min¯¹
P220;Smooth m(set);001;MDS1;0 ms
P220;Smooth m(set);002;MDS2;0 ms
P220;Smooth m(set);003;MDS3;0 ms
P220;Smooth m(set);004;MDS4;0 ms
P221;smooth n/f(set);001;MDS1;4 ms
P221;smooth n/f(set);002;MDS2;4 ms
P221;smooth n/f(set);003;MDS3;4 ms
P221;smooth n/f(set);004;MDS4;4 ms
P222;S.n/f(act);001;BiCoDS 1;K0  FixConn 0% 
P222;S.n/f(act);002;BiCoDS 2;K0  FixConn 0% 
P223;Smooth n/f(act);001;MDS1;0 ms
P223;Smooth n/f(act);002;MDS2;4 ms
P223;Smooth n/f(act);003;MDS3;4 ms
P223;Smooth n/f(act);004;MDS4;4 ms
r229;n/f(set,smo'd);000;MDS4;45.816 Hz
r230;n/f(act,smo'd);000;MDS4;45.79 Hz
P232;S.n/f RegAdapt;001;BiCoDS 1;K0  FixConn 0% 
P232;S.n/f RegAdapt;002;BiCoDS 2;K0  FixConn 0% 
P233;n/f Reg. Adpat.1;001;MDS1;0.0 %
P233;n/f Reg. Adpat.1;002;MDS2;0.0 %
P233;n/f Reg. Adpat.1;003;MDS3;0.0 %
P233;n/f Reg. Adpat.1;004;MDS4;0.0 %
P234;n/f-Reg. Adapt.2;001;MDS1;100.0 %
P234;n/f-Reg. Adapt.2;002;MDS2;100.0 %
P234;n/f-Reg. Adapt.2;003;MDS3;100.0 %
P234;n/f-Reg. Adapt.2;004;MDS4;100.0 %
P235;n/f-Reg Gain 1;001;MDS1;0.9 
P235;n/f-Reg Gain 1;002;MDS2;3.0 
P235;n/f-Reg Gain 1;003;MDS3;3.0 
P235;n/f-Reg Gain 1;004;MDS4;3.0 
P236;n/f-Reg. Gain2;001;MDS1;0.9 
P236;n/f-Reg. Gain2;002;MDS2;3.0 
P236;n/f-Reg. Gain2;003;MDS3;3.0 
P236;n/f-Reg. Gain2;004;MDS4;3.0 
r237;n/f RegGain(act);000;MDS4;0.9 
P238;S.n-Reg.Adapt;001;BiCoDS 1;K1  FixConn 100% 
P238;S.n-Reg.Adapt;002;BiCoDS 2;K1  FixConn 100% 
P240;n/f Reg Time;001;MDS1;161 ms
P240;n/f Reg Time;002;MDS2;400 ms
P240;n/f Reg Time;003;MDS3;400 ms
P240;n/f Reg Time;004;MDS4;400 ms
P241;S.SetV n/f-Reg1;001;BiCoDS 1;K0  FixConn 0% 
P241;S.SetV n/f-Reg1;002;BiCoDS 2;K0  FixConn 0% 
P242;S.Set n/f-Reg1;001;BiCoDS 1;B0  FixBinector 0 
P242;S.Set n/f-Reg1;002;BiCoDS 2;B0  FixBinector 0 
P243;S.nf-Reg1 STOP;001;BiCoDS 1;B0  FixBinector 0 
P243;S.nf-Reg1 STOP;002;BiCoDS 2;B0  FixBinector 0 
P245;S.Droop;001;BiCoDS 1;K0  FixConn 0% 
P245;S.Droop;002;BiCoDS 2;K0  FixConn 0% 
P246;Scale Droop;001;MDS1;0.0 %
P246;Scale Droop;002;MDS2;0.0 %
P246;Scale Droop;003;MDS3;0.0 %
P246;Scale Droop;004;MDS4;0.0 %
P249;DT1 Function T1;001;MDS1;10.0 ms
P249;DT1 Function T1;002;MDS2;10.0 ms
P249;DT1 Function T1;003;MDS3;10.0 ms
P249;DT1 Function T1;004;MDS4;10.0 ms
P250;DT1 Function Td;001;MDS1;0.0 ms
P250;DT1 Function Td;002;MDS2;0.0 ms
P250;DT1 Function Td;003;MDS3;0.0 ms
P250;DT1 Function Td;004;MDS4;0.0 ms
P251;Band-Stop Gain;001;MDS1;0.0 %
P251;Band-Stop Gain;002;MDS2;0.0 %
P251;Band-Stop Gain;003;MDS3;0.0 %
P251;Band-Stop Gain;004;MDS4;0.0 %
P253;Filter bandwidth;001;MDS1;0.5 Hz
P253;Filter bandwidth;002;MDS2;0.5 Hz
P253;Filter bandwidth;003;MDS3;0.5 Hz
P253;Filter bandwidth;004;MDS4;0.5 Hz
P254;ResonFreqBStop;001;MDS1;50.0 Hz
P254;ResonFreqBStop;002;MDS2;50.0 Hz
P254;ResonFreqBStop;003;MDS3;50.0 Hz
P254;ResonFreqBStop;004;MDS4;50.0 Hz
r255;T(set,reg. off);000;MDS4;7.0 %
P256;S.T(lim,reg1);001;BiCoDS 1;K172  Torq(limit1,act 
P256;S.T(lim,reg1);002;BiCoDS 2;K172  Torq(limit1,act 
P257;S.T(lim,reg2);001;BiCoDS 1;K173  Torq(limit2,act 
P257;S.T(lim,reg2);002;BiCoDS 2;K173  Torq(limit2,act 
P258;Max Gen Power;001;MDS1;193.3 %
P258;Max Gen Power;002;MDS2;200.0 %
P258;Max Gen Power;003;MDS3;200.0 %
P258;Max Gen Power;004;MDS4;200.0 %
P259;Max Regen Power;001;MDS1;-193.4 %
P259;Max Regen Power;002;MDS2;-200.0 %
P259;Max Regen Power;003;MDS3;-200.0 %
P259;Max Regen Power;004;MDS4;-200.0 %
P260;S.Torq (set);001;BiCoDS 1;K0  FixConn 0% 
P260;S.Torq (set);002;BiCoDS 2;K0  FixConn 0% 
P262;S.Torque(add);001;BiCoDS 1;K0  FixConn 0% 
P262;S.Torque(add);002;BiCoDS 2;K0  FixConn 0% 
P268;Kp Isq(max);001;MDS1;100.0 %
P268;Kp Isq(max);002;MDS2;100.0 %
P268;Kp Isq(max);003;MDS3;100.0 %
P268;Kp Isq(max);004;MDS4;100.0 %
r269;Torq (set, Lim);000;MDS4;7.4 %
r272;Isq(set,lim);000;MDS4;0.7 A
P273;Smooth Isq(set);001;MDS1;7 ms
P273;Smooth Isq(set);002;MDS2;7 ms
P273;Smooth Isq(set);003;MDS3;7 ms
P273;Smooth Isq(set);004;MDS4;7 ms
P274;Isq(set) grad.;001;MDS1;44.0 A
P274;Isq(set) grad.;002;MDS2;52.8 A
P274;Isq(set) grad.;003;MDS3;52.8 A
P274;Isq(set) grad.;004;MDS4;52.8 A
P275;S.I(max);001;BiCoDS 1;K0  FixConn 0% 
P275;S.I(max);002;BiCoDS 2;K0  FixConn 0% 
P276;Current MeanV;000;BiCoDS 2;[0] No MV gen. 
r277;T(set,friction);000;BiCoDS 2;0.0 %
P278;Torque (static);001;MDS1;80.0 %
P278;Torque (static);002;MDS2;80.0 %
P278;Torque (static);003;MDS3;80.0 %
P278;Torque (static);004;MDS4;80.0 %
P279;Torque (dynamic);001;MDS1;20.0 %
P279;Torque (dynamic);002;MDS2;20.0 %
P279;Torque (dynamic);003;MDS3;20.0 %
P279;Torque (dynamic);004;MDS4;20.0 %
P280;Smooth I(Set);001;MDS1;40 ms
P280;Smooth I(Set);002;MDS2;40 ms
P280;Smooth I(Set);003;MDS3;40 ms
P280;Smooth I(Set);004;MDS4;40 ms
r281;Isd(set);000;MDS4;5.5 A
P282;Gain PRE Isq;001;MDS1;60.0 %
P282;Gain PRE Isq;002;MDS2;60.0 %
P282;Gain PRE Isq;003;MDS3;60.0 %
P282;Gain PRE Isq;004;MDS4;60.0 %
P283;Current Reg Gain;001;MDS1;0.225 
P283;Current Reg Gain;002;MDS2;0.199 
P283;Current Reg Gain;003;MDS3;0.199 
P283;Current Reg Gain;004;MDS4;0.199 
P284;Current Reg Time;001;MDS1;4.8 ms
P284;Current Reg Time;002;MDS2;4.8 ms
P284;Current Reg Time;003;MDS3;4.8 ms
P284;Current Reg Time;004;MDS4;4.8 ms
P287;SmoothDCBusVolts;001;MDS1;9 
P287;SmoothDCBusVolts;002;MDS2;9 
P287;SmoothDCBusVolts;003;MDS3;9 
P287;SmoothDCBusVolts;004;MDS4;9 
P288;Decoupl. Gain1;001;MDS1;100.0 %
P288;Decoupl. Gain1;002;MDS2;100.0 %
P288;Decoupl. Gain1;003;MDS3;100.0 %
P288;Decoupl. Gain1;004;MDS4;100.0 %
