DATE,TIME,Imp_rpm_set,Imp_rpm_obs,Chop_rpm_set,Chop_rpm_obs,Imp_torq_obs,Chop_torq_obs,Imp_amp_obs,Chop_amp_obs,Set_time_min,Set_time_sec,Start_time,Stop_time,Null_time,Process_status,Prod_name,Batch_no,Batch_size,Mfg_date,Exp_date,Op_name,Lot_no,Lot_size,Purge_state,Recipe_name,aa,ab,ac,ad,ae
23.07.2018,12:59:22,30,30,700,500,280,5,50,12,38,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:00:21,30,30,700,500,280,5,50,12,39,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:01:21,30,30,700,500,280,5,50,12,40,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:02:21,30,30,700,500,280,5,50,12,41,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:03:22,30,30,700,500,280,5,50,12,42,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:04:21,30,30,700,500,280,5,50,12,43,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:05:22,30,30,700,500,280,5,50,12,44,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:06:22,30,30,700,500,280,5,50,12,45,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:07:22,30,30,700,500,279,5,50,12,46,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:08:22,30,30,700,500,280,5,50,12,47,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:09:22,30,30,700,500,279,5,50,12,48,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,13:10:22,30,30,700,500,280,5,50,12,49,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,17:16:50,30,0,700,500,0,0,50,12,50,12,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,17:31:12,30,0,700,500,0,0,50,12,0,0,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,17:36:34,30,0,700,500,0,0,50,12,0,2,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,17:37:34,30,30,700,500,280,5,50,12,1,2,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,17:38:03,30,0,700,500,0,0,50,12,1,19,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,17:39:03,30,30,700,500,280,5,50,12,2,19,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,17:40:03,30,30,700,500,280,5,50,12,3,19,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,17:48:28,30,0,700,500,0,0,50,12,4,13,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,18:00:38,31,0,715,500,0,0,5,12,4,45,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,18:01:56,31,0,715,500,0,0,5,12,5,12,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,0,,,,,
23.07.2018,18:19:12,31,0,715,500,0,0,5,12,5,12,30,27,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:17:02,31,0,715,500,0,0,5,12,5,12,30,24,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:23:27,32,0,715,500,0,0,2,5,0,0,36,24,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:24:27,32,32,715,500,298,5,2,5,1,0,36,24,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:25:30,32,0,715,500,0,0,2,5,1,47,36,25,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:33:42,35,0,715,500,0,0,2,5,0,1,65,32,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,bmishra,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:34:42,35,35,715,500,326,5,2,5,1,1,65,33,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,bmishra,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:35:42,35,35,715,500,325,5,2,5,2,1,65,34,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,bmishra,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,14:44:50,35,0,715,500,0,0,2,5,0,0,65,37,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,rakesh,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,17:59:24,40,0,715,500,0,0,2,5,0,57,70,41,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,sunil,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,19:29:09,40,0,715,500,0,0,10,5,0,59,70,39,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,0,,,,,
24.07.2018,19:30:43,55,0,715,500,0,0,10,5,0,59,70,39,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,9:58:02,10,0,715,500,0,0,15,5,1,5,62,58,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:22:12,40,0,715,500,0,0,15,5,1,5,70,50,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:23:12,40,40,715,500,372,5,15,5,2,5,70,49,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:24:12,40,40,715,500,372,5,15,5,3,5,70,50,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:25:12,40,40,715,500,372,5,15,5,4,5,70,49,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:26:12,40,40,715,500,372,5,15,5,5,5,70,48,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:27:12,40,40,715,500,372,5,15,5,6,5,70,48,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:28:12,40,40,715,500,372,5,15,5,7,5,70,49,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:29:51,40,0,715,500,0,0,15,5,7,48,70,48,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:30:51,40,40,715,500,372,5,15,5,8,48,70,47,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:31:51,40,40,715,500,373,5,15,5,9,48,70,46,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:32:51,40,40,715,500,373,5,15,5,10,48,70,46,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:35:51,40,40,715,500,373,5,15,5,13,48,70,46,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:48:06,40,40,715,500,374,5,15,5,1,0,70,62,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:49:06,40,40,715,500,374,5,15,5,2,0,70,62,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:50:06,40,40,715,500,375,5,15,5,3,0,70,62,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:51:06,40,40,715,500,376,5,15,5,4,0,70,63,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:52:06,40,40,715,500,375,5,15,5,5,0,70,63,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:53:06,40,40,715,500,375,5,15,5,6,0,70,64,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:54:06,40,40,715,500,375,5,15,5,7,0,70,64,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:55:06,40,40,715,500,375,5,15,5,8,0,70,64,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:56:06,40,40,715,500,375,5,15,5,9,0,70,64,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:57:06,40,40,715,500,375,5,15,5,10,0,70,64,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:58:06,40,40,715,500,375,5,15,5,11,0,70,64,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,10:59:06,40,40,715,500,375,5,15,5,12,0,70,64,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,11:00:06,40,40,715,500,375,5,15,5,13,0,70,65,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,11:55:46,60,0,715,500,0,0,15,5,13,46,70,71,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,11:56:46,60,60,715,500,426,4,15,5,14,47,70,71,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,11:58:32,60,0,715,500,0,0,15,5,0,0,70,71,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,11:59:32,60,60,715,500,428,3,15,5,1,1,70,70,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:00:33,60,60,715,500,429,4,15,5,2,1,70,69,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:01:33,60,60,715,500,423,4,15,5,3,1,70,69,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:02:33,60,60,715,500,424,4,15,5,4,1,70,69,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:03:33,60,60,715,500,422,4,15,5,5,1,70,68,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:04:33,60,60,715,500,422,4,15,5,6,1,70,67,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:05:33,60,60,715,500,419,4,15,5,7,1,70,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:11:54,40,0,715,500,0,0,15,5,7,35,69,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:12:54,42,42,715,500,393,5,15,5,8,35,69,62,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:13:54,42,42,715,500,393,5,15,5,9,35,69,60,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:14:54,42,42,715,500,392,5,15,5,10,35,69,58,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:15:54,42,42,715,500,390,5,15,5,11,35,69,57,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:16:54,42,42,715,500,392,5,15,5,12,35,69,58,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:17:54,42,42,715,500,392,5,15,5,13,35,69,60,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:48:29,42,0,715,500,0,0,15,5,14,6,69,69,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:51:06,42,0,715,500,0,0,8,5,0,1,69,68,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:52:06,42,42,715,500,392,5,8,5,1,1,69,67,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:53:06,42,42,715,500,392,5,8,5,2,1,69,67,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:54:06,42,42,715,500,392,5,8,5,3,1,69,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:55:06,42,42,715,500,392,5,8,5,4,1,69,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:56:06,42,42,715,500,392,5,8,5,5,1,69,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:57:06,42,42,715,500,392,5,8,5,6,1,69,65,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:58:06,42,42,715,500,392,5,8,5,7,1,69,65,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,12:59:06,42,42,715,500,392,5,8,5,8,1,69,65,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,13:02:25,42,0,715,500,0,0,8,5,8,5,69,63,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,13:07:46,42,0,715,500,0,0,8,5,8,5,69,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,13:08:56,42,0,715,500,0,0,8,5,8,5,69,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,13:18:23,40,0,715,500,0,0,8,5,8,5,69,66,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,13:23:06,40,0,715,500,0,0,8,5,8,5,69,67,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,13:24:40,40,0,715,500,0,0,8,5,0,0,69,67,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:41:57,55,0,500,500,0,0,10,5,1,0,70,60,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:42:57,55,55,500,500,436,3,10,5,2,1,70,59,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:43:57,55,55,500,500,433,3,10,5,3,1,70,59,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,akums,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:44:57,55,55,500,500,432,3,10,5,4,1,70,59,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:45:57,55,55,500,500,433,3,10,5,5,1,70,59,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:46:57,55,55,500,500,435,3,10,5,6,1,70,60,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:47:57,55,55,500,500,434,3,10,5,7,1,70,61,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,15:50:57,55,55,500,500,435,3,10,5,10,1,70,65,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,sunil,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,16:25:21,55,0,0,500,0,0,10,55,0,0,70,71,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,16:31:52,55,0,0,500,0,0,10,55,0,1,70,58,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,16:32:19,55,0,0,500,0,0,10,55,0,16,70,57,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
25.07.2018,16:32:30,55,0,0,500,0,0,10,55,0,18,70,56,0,0,Progesterone-200 MG,1640384,309000 Caps,18-Jul,20-Jun,bmishra,LOT NO,LOT SIZE,0,0,,,,,
